-test.shuffle 1711849264447258494
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/bench/uint16s
cpu: Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz
BenchmarkReadUint16sUnsafe-2    	21770588	        58.09 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	18387704	        58.49 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19680836	        59.32 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	22000387	        56.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20719556	        55.73 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20353851	        56.84 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21979658	        58.38 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21567693	        56.29 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21552975	        56.87 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21098384	        58.24 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20610548	        55.15 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	20618438	        59.52 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	19041909	        56.79 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe-2    	21380316	        55.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	18200506	        57.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21936891	        57.23 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20812690	        56.44 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20145375	        55.30 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20027407	        56.22 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	17650585	        58.20 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	19636526	        57.41 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	17537377	        57.48 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20147856	        60.70 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	10771339	       135.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	 6690772	       166.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	 7904047	       139.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	 8773093	       120.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	 7156531	       197.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	 9815498	       111.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	13447377	        77.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21415436	        55.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20978419	        57.72 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20948852	        57.50 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21115156	        56.15 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20899495	        55.12 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20926934	        56.26 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21942702	        57.99 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21538599	        54.03 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20926374	        58.11 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21269316	        59.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21099313	        56.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21341886	        55.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21659556	        56.38 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	19325880	        58.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21397779	        55.45 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21155139	        56.93 ns/op	       8 B/op	       1 allocs/op
