Benchmarking Unmarshal23:  [30 171 22]
-test.shuffle 1744254435149331026
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/generate/testdata/boolDef
cpu: Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz
Benchmark23_Marshal_Gob-4      	   62616	     19125 ns/op	    2677 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   58161	     19203 ns/op	    2729 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   66344	     19233 ns/op	    2640 B/op	      19 allocs/op
Benchmark23_Marshal_Gob-4      	   65374	     20629 ns/op	    2649 B/op	      19 allocs/op
Benchmark23_Marshal_Jay-4      	19919426	        57.80 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	22265655	        51.62 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	25654321	        46.64 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	21890100	        51.01 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	29812672	        47.41 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	26353094	        47.25 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	30395036	        49.67 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	26247730	        47.48 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	22484920	        47.21 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	21935510	        47.17 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	28078392	        47.07 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	21114868	        54.03 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	25634736	        46.74 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	26385466	        47.03 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	22840149	        47.72 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	27444138	        46.79 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	30259340	        50.21 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	23074593	        47.81 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	30056547	        46.10 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	29686496	        46.31 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	23323047	        46.03 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	21702070	        50.63 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	29056992	        49.72 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	29406733	        64.07 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	28570068	        52.28 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	28858929	        46.62 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	21215698	        48.01 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	26720378	        49.54 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	27984273	        48.60 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Marshal_Jay-4      	26267240	        53.28 ns/op	       3 B/op	       1 allocs/op
Benchmark23_Unmarshal_Gob-4    	   10000	    115640 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   12152	    106833 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	    6915	    144913 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   10000	    155635 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   10000	    136002 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   13918	     85059 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14976	     77955 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14364	     81595 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14977	     80339 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15078	     78631 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15502	     78137 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15289	     80421 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15134	     81341 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   13406	     88386 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14715	     81299 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15633	     78637 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14192	     82113 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14233	     84666 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14516	     82031 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15548	     76809 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14242	     83597 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15486	     76822 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15487	     76679 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   16039	     76386 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15097	     80551 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14760	     81740 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14464	     82549 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14832	     80007 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   14815	     80527 ns/op	   10448 B/op	     238 allocs/op
Benchmark23_Unmarshal_Gob-4    	   15746	     76816 ns/op	   10448 B/op	     238 allocs/op
PASS
ok  	github.com/speedyhoon/jay/generate/testdata/boolDef	221.983s
